NS_Waveform_File,EW_Waveform_File,UP_Waveform_File,Record_Folder,Scale_Factor_Used,P_Pick_Index,P_Pick_Time_sec,Waveform_Start_Sample,Waveform_End_Sample,Waveform_Duration_sec,Number_of_Waveform_Samples,Sampling_Frequency_Hz,Damping,STA_Seconds,LTA_Seconds,STA_LTA_Threshold,Response_Spectrum_Method,Number_of_Periods,Minimum_Period_sec,Maximum_Period_sec,Station_Name,Station_Lat,Station_Lon,Origin_Date,Origin_Time,Rec_Start_Date,Rec_Start_Time,Duration_Time(s),Last_Corr_Date,Last_Corr_Time,Epicenter_Lat,Epicenter_Lon,Magnitude,EQ_Depth(km),Samp_Freq(Hz),PGA_EW(gal),PGA_NS(gal),PGA_UD(gal),Station Height(m),Scale_factor,Numerator,Denominator,INdex,Epicentral_Distance_km
F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\HRS0010210240613\HRS0010210240613Anj.NS.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\HRS0010210240613\HRS0010210240613Anj.EW.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\HRS0010210240613\HRS0010210240613Anj.UD.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\HRS0010210240613,0.0002384185791015,721,7.21,721,1320,6.0,600,100.0,0.05,0.1,0.3,2.5,Duhamel,100,0.01,4.0,HRS001,35.0337,132.9018,2002/10/24,06:13:00,2002/10/24,06:13:33,119,2002/10/24,06:00:00,35.34,133.402,3.6,12,100,7.527,9.527,1.355,566,0.0002384185791015,2000.0,8388608.0,0,56.800632
F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\HRS0210210240613\HRS0210210240613Anj.NS.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\HRS0210210240613\HRS0210210240613Anj.EW.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\HRS0210210240613\HRS0210210240613Anj.UD.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\HRS0210210240613,0.0002384185791015,1442,14.42,1442,2041,6.0,600,100.0,0.05,0.1,0.3,2.5,Duhamel,100,0.01,4.0,HRS021,34.9529,133.1171,2002/10/24,06:13:00,2002/10/24,06:13:25,119,2002/10/24,06:00:00,35.34,133.402,3.6,12,100,2.984,3.245,6.025,325,0.0002384185791015,2000.0,8388608.0,1,50.23689
F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\OKY0010210240613\OKY0010210240613Anj.NS.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\OKY0010210240613\OKY0010210240613Anj.EW.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\OKY0010210240613\OKY0010210240613Anj.UD.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\OKY0010210240613,0.0002384185791015,1461,14.61,1461,2060,6.0,600,100.0,0.05,0.1,0.3,2.5,Duhamel,100,0.01,4.0,OKY001,35.1945,133.7314,2002/10/24,06:13:00,2002/10/24,06:13:22,119,2002/10/24,06:00:00,35.34,133.402,3.6,12,100,5.032,2.479,3.959,334,0.0002384185791015,2000.0,8388608.0,2,34.001152
F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\SMN0010210240613\SMN0010210240613Anj.NS.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\SMN0010210240613\SMN0010210240613Anj.EW.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\SMN0010210240613\SMN0010210240613Anj.UD.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\SMN0010210240613,0.0002384185791015,1016,10.16,1016,1615,6.0,600,100.0,0.05,0.1,0.3,2.5,Duhamel,100,0.01,4.0,SMN001,35.5372,133.1612,2002/10/24,06:13:00,2002/10/24,06:13:26,119,2002/10/24,06:00:00,35.34,133.402,3.6,12,100,5.286,6.463,1.889,2,0.0002384185791015,2000.0,8388608.0,3,30.930933
F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\TTR0060210240613\TTR0060210240613Anj.NS.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\TTR0060210240613\TTR0060210240613Anj.EW.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\TTR0060210240613\TTR0060210240613Anj.UD.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\TTR0060210240613,0.0002384185791015,96,0.96,96,695,6.0,600,100.0,0.05,0.1,0.3,2.5,Duhamel,100,0.01,4.0,TTR006,35.5106,133.6303,2002/10/24,06:13:00,2002/10/24,06:13:25,119,2002/10/24,06:00:00,35.34,133.402,3.6,12,100,6.095,9.368,2.556,20,0.0002384185791015,2000.0,8388608.0,4,28.067282
F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\TTR0070210240613\TTR0070210240613Anj.NS.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\TTR0070210240613\TTR0070210240613Anj.EW.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\TTR0070210240613\TTR0070210240613Anj.UD.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\TTR0070210240613,0.0002384185791015,1398,13.98,1398,1997,6.0,600,100.0,0.05,0.1,0.3,2.5,Duhamel,100,0.01,4.0,TTR007,35.2826,133.4876,2002/10/24,06:13:00,2002/10/24,06:13:19,119,2002/10/24,06:00:00,35.34,133.402,3.6,12,100,11.389,9.529,11.262,155,0.0002384185791015,2000.0,8388608.0,5,10.053158
F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\TTR0080210240613\TTR0080210240613Anj.NS.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\TTR0080210240613\TTR0080210240613Anj.EW.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\TTR0080210240613\TTR0080210240613Anj.UD.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.6.21\TTR0080210240613,0.0002384185791015,778,7.78,778,1377,6.0,600,100.0,0.05,0.1,0.3,2.5,Duhamel,100,0.01,4.0,TTR008,35.4258,133.3301,2002/10/24,06:13:00,2002/10/24,06:13:21,120,2002/10/24,06:00:00,35.34,133.402,3.6,12,100,12.258,8.321,6.408,2,0.0002384185791015,2000.0,8388608.0,6,11.554623
F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.7.13\HRS0010102180957\HRS0010102180957Anj.NS.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.7.13\HRS0010102180957\HRS0010102180957Anj.EW.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.7.13\HRS0010102180957\HRS0010102180957Anj.UD.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.7.13\HRS0010102180957,0.0002384185791015,863,8.63,863,1462,6.0,600,100.0,0.05,0.1,0.3,2.5,Duhamel,100,0.01,4.0,HRS001,35.0337,132.9018,2001/02/18,09:57:00,2001/02/18,09:58:02,119,2001/02/18,09:00:00,35.205,133.414,3.7,11,100,5.75,4.696,2.493,566,0.0002384185791015,2000.0,8388608.0,24,50.329407
F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.7.13\HRS0020102180957\HRS0020102180957Anj.NS.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.7.13\HRS0020102180957\HRS0020102180957Anj.EW.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.7.13\HRS0020102180957\HRS0020102180957Anj.UD.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.7.13\HRS0020102180957,0.0002384185791015,948,9.48,948,1547,6.0,600,100.0,0.05,0.1,0.3,2.5,Duhamel,100,0.01,4.0,HRS002,34.8951,133.2755,2001/02/18,09:57:00,2001/02/18,09:57:59,119,2001/02/18,09:00:00,35.205,133.414,3.7,11,100,14.215,12.919,1.665,306,0.0002384185791015,2000.0,8388608.0,25,36.693256
F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.7.13\HRS0060102180957\HRS0060102180957Anj.NS.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.7.13\HRS0060102180957\HRS0060102180957Anj.EW.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.7.13\HRS0060102180957\HRS0060102180957Anj.UD.csv,F:\Research Work\Response Spectrum\Seismic waveform 1\data2\ER_3.7.13\HRS0060102180957,0.0002384185791015,1060,10.6,1060,1659,6.0,600,100.0,0.05,0.1,0.3,2.5,Duhamel,100,0.01,4.0,HRS006,34.6659,132.4077,2001/02/18,09:57:00,2001/02/18,09:58:19,119,2001/02/18,09:00:00,35.205,133.414,3.7,11,100,2.474,1.692,1.628,371,0.0002384185791015,2000.0,8388608.0,26,109.58054
